,D0V1,D0V2,D0V3,D0V4,D0V5,D0V6,D10S1,D10S2,D10S3,D10S4,D10S5,D10S6,D10SBd1,D10SBd2,D10SBd3,D10SBd4,D10SBd5,D10SBd6,D10V1,D10V3,D10V4,D10V5,D10V6,D10V7,D10VBd1,D10VBd2,D10VBd3,D10VBd4,D10VBd5,D10VBd6,D21S10,D21S11,D21S5,D21S7,D21S8,D21S9,D21SBd12,D21SBd13,D21SBd14,D21SBd7,D21SBd8,D21SBd9,D21V11,D21V12,D21V13,D21V14,D21V16,D21V7,D21VBd11,D21VBd13,D21VBd14,D21VBd7,D21VBd9
ASV79,15,9,0,21,0,0,91,118,97,27,88,89,0,0,0,5,11,0,161,0,0,0,66,31,83,174,24,28,15,0,66,45,152,65,72,12,0,0,9,0,0,0,0,0,0,30,22,169,6,0,0,8,0
ASV80,0,0,0,0,0,0,127,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,312,147,154,633,26,0,0,0,0,0,0,241,0,0,8,12,0,0,0,0,0
ASV81,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,791,0,0,0,0,0,109,0,0,25,169,644,0,0,0,0,0,0,0,0,0,0,0
ASV82,0,0,0,0,0,0,84,68,84,0,37,110,88,0,0,50,207,0,0,0,0,0,0,0,20,77,76,0,28,0,0,0,456,61,207,0,0,0,0,0,0,63,0,0,0,0,14,0,19,0,0,0,0
ASV83,0,0,0,0,0,0,8,9,0,0,0,0,28,0,7,8,15,7,0,0,0,0,0,0,39,75,0,20,1411,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,95,0,0
ASV84,0,0,0,0,0,0,102,115,144,23,58,112,0,0,0,0,0,0,99,0,0,0,46,105,0,0,0,0,0,0,0,0,26,0,0,65,0,0,0,0,0,0,28,708,0,28,0,0,0,0,0,0,44
ASV85,0,0,0,0,0,0,0,0,0,0,7,0,915,73,0,0,392,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV86,0,88,0,0,60,58,73,0,0,0,34,80,0,0,161,0,0,52,0,20,0,22,121,24,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,155,147,0,0,59,0,0,29,186,101,58,0,98
ASV87,0,0,0,0,0,0,124,137,174,18,0,31,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,121,248,141,86,14,0,0,0,0,0,0,0,0,0,0,0,440,58,0,0,0,0,0
ASV88,0,0,0,0,0,0,106,495,298,69,0,67,0,19,0,99,34,22,39,0,6,0,0,0,22,139,152,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV89,0,0,0,14,0,0,136,162,211,14,24,99,40,0,0,48,0,0,175,0,0,0,75,0,0,0,30,0,0,0,35,0,97,30,114,0,0,0,0,0,0,0,0,0,0,66,37,116,33,0,0,0,0
ASV90,0,0,0,0,0,0,64,159,165,0,0,39,32,10,11,34,0,0,35,0,0,0,84,0,0,0,0,0,0,0,35,0,420,0,107,0,0,0,0,0,18,31,0,0,0,74,0,38,86,0,0,0,0
ASV91,24,0,0,17,0,0,45,122,0,0,0,0,0,0,0,0,0,24,310,0,21,37,0,0,25,98,0,0,47,0,0,26,0,56,47,0,36,0,0,28,173,162,0,0,0,0,37,70,0,0,0,16,0
ASV92,0,0,0,0,0,0,49,21,64,35,15,37,0,0,0,0,0,0,174,0,29,14,39,113,0,0,0,0,0,0,437,20,233,67,17,0,0,0,0,0,0,15,0,0,0,4,0,9,18,0,0,0,3
ASV94,0,0,0,0,0,0,76,68,54,7,0,186,17,5,0,12,38,0,254,11,45,4,30,87,0,0,45,0,0,0,0,68,82,0,15,4,0,0,0,8,38,0,29,49,0,14,29,129,0,0,0,0,0
ASV95,7,0,0,0,0,0,110,193,110,106,33,119,2,0,4,2,2,0,18,0,0,0,16,6,0,0,0,0,0,0,51,10,380,30,125,14,0,0,23,0,4,3,0,0,0,18,0,0,0,0,0,0,0
ASV96,0,0,0,0,0,0,0,0,99,23,0,0,0,0,33,79,54,31,0,0,0,0,0,144,119,60,117,96,0,0,0,0,0,0,0,7,0,0,0,0,33,125,0,44,0,0,0,0,0,0,265,0,0
ASV97,0,0,0,0,0,0,37,62,79,14,0,24,79,0,59,102,385,3,0,0,0,0,16,0,11,12,46,0,6,0,0,0,240,35,21,0,0,0,0,0,5,52,0,0,0,0,6,0,0,23,0,0,0
ASV98,0,9,19,44,62,67,22,14,0,0,21,28,61,25,62,13,0,0,0,66,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,90,35,42,22,65,78,0,21,15,34,21,86,37,75,0,46
ASV99,0,0,0,0,0,0,55,65,41,0,0,36,95,0,57,57,381,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,353,74,0,0,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
